Polygenic Score (PGS) ID	PGS Name	Reported Trait	URL	Mapped Trait(s) (EFO ID)	PGS Development Method	Score Development Details	Original Genome Build	Number of variants	Number of interaction terms
PGS000951	GBE_INI3144	Heel Broadband ultrasound attenuation, direct entry	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3144	EFO_0004514	snpnet		GRCh37	13735	0
	GBE_INI3146	Speed of sound through heel	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3146		snpnet		GRCh37	13172	0
PGS000952	GBE_INI3147	Heel quantitative ultrasound index (QUI), direct entry	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3147	EFO_0004514	snpnet		GRCh37	14311	0
	GBE_INI3148	Heel bone mineral density (BMD)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3148		snpnet		GRCh37	14251	0
PGS001242	GBE_INI4100	Ankle spacing width (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4100	EFO_0004302	snpnet		GRCh37	13416	0
PGS000953	GBE_INI4101	Heel broadband ultrasound attenuation (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4101	EFO_0004514	snpnet		GRCh37	7688	0
	GBE_INI4103	Speed of sound through heel (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4103		snpnet		GRCh37	8419	0
PGS000954	GBE_INI4104	Heel quantitative ultrasound index (QUI), direct entry (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4104	EFO_0004514	snpnet		GRCh37	9272	0
	GBE_INI4105	Heel bone mineral density (BMD) (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4105		snpnet		GRCh37	8285	0
PGS001038	GBE_INI4106	Heel bone mineral density (BMD) T-score, automated (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4106	EFO_0009270	snpnet		GRCh37	9275	0
PGS001243	GBE_INI4119	Ankle spacing width (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4119	EFO_0004302	snpnet		GRCh37	15134	0
PGS000955	GBE_INI4120	Heel broadband ultrasound attenuation (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4120	EFO_0004514	snpnet		GRCh37	7069	0
	GBE_INI4122	Speed of sound through heel (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4122		snpnet		GRCh37	8912	0
PGS000956	GBE_INI4123	Heel quantitative ultrasound index (QUI), direct entry (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4123	EFO_0004514	snpnet		GRCh37	9756	0
	GBE_INI4124	Heel bone mineral density (BMD) (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4124		snpnet		GRCh37	9637	0
PGS001039	GBE_INI4125	Heel bone mineral density (BMD) T-score, automated (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4125	EFO_0009270	snpnet		GRCh37	9753	0
PGS001037	GBE_INI78	Heel bone mineral density (BMD) T-score, automated	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI78	EFO_0009270	snpnet		GRCh37	14310	0
PGS001052	GBE_INI1050	Time spend outdoors in summer	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1050	EFO_0008360	snpnet		GRCh37	5661	0
PGS001053	GBE_INI1060	Outdoor time, winter	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1060	EFO_0008360	snpnet		GRCh37	2323	0
PGS001150	GBE_INI1160	Sleep duration	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1160	EFO_0005271	snpnet		GRCh37	4106	0
PGS001061	GBE_INI1289	Cooked vegetable intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1289	EFO_0008111	snpnet		GRCh37	1085	0
PGS001062	GBE_INI1309	Fresh fruit intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1309	EFO_0008111	snpnet		GRCh37	4257	0
	GBE_INI1319	Dried fruit intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1319		snpnet		GRCh37	989	0
PGS000978	GBE_INI1438	Bread intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1438	EFO_0010811	snpnet		GRCh37	3483	0
PGS001057	GBE_INI1458	Cereal intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1458	EFO_0008111	snpnet		GRCh37	4882	0
PGS000994	GBE_INI1488	Tea intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1488	EFO_0010091	snpnet		GRCh37	3119	0
PGS001126	GBE_INI1498	Coffee intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1498	EFO_0006781	snpnet		GRCh37	3154	0
PGS001069	GBE_INI1528	Water intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1528	EFO_0008111	snpnet		GRCh37	4994	0
PGS001068	GBE_INI1548	Variation in diet	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1548	EFO_0008111	snpnet		GRCh37	1353	0
PGS001088	GBE_INI1588	Ave. weekly beer plus cider intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1588	EFO_0007878	snpnet		GRCh37	2842	0
PGS001257	GBE_INI1737	Childhood sunburn	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI1737	EFO_0003958	snpnet		GRCh37	519	0
PGS001007	GBE_INI2139	Age first had sexual intercourse	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI2139	EFO_0009749	snpnet		GRCh37	9997	0
PGS000984	GBE_INI2237	Freq. of playing computer games	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI2237	EFO_0010724	snpnet		GRCh37	5774	0
PGS001130	GBE_INI2887	# of cigarettes previously smoked daily	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI2887	EFO_0006525	snpnet		GRCh37	725	0
	GBE_INI2897	Age stopped smoking	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI2897		snpnet		GRCh37	663	0
	GBE_INI3456	# of cigarettes currently smoked daily (current cigarette smokers)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI3456		snpnet		GRCh37	9	0
PGS001073	GBE_INI874	Duration of walks	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI874	EFO_0008002	snpnet		GRCh37	1323	0
PGS001075	GBE_INI924	Usual walking pace	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI924	EFO_0008002	snpnet		GRCh37	7535	0
	GBE_INI971	Freq. of walking for pleasure in last 4 weeks	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI971		snpnet		GRCh37	1276	0
PGS001034	GBE_QT_FC10001478	Salt added to food	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC10001478	EFO_0008111	snpnet		GRCh37	6651	0
	GBE_QT_FC10003466	Time from waking to first cigarette	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC10003466		snpnet		GRCh37	86	0
	GBE_QT_FC10003476	Difficulty not smoking for 1 day	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC10003476		snpnet		GRCh37	1	0
PGS001001	GBE_QT_FC1001170	Getting up in morning	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001170	EFO_0009817	snpnet		GRCh37	7743	0
PGS001055	GBE_QT_FC1001180	Morning/evening person (chronotype)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001180	EFO_0008328	snpnet		GRCh37	11428	0
PGS001000	GBE_QT_FC1001190	Nap during day	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001190	EFO_0009818	snpnet		GRCh37	10264	0
PGS000926	GBE_QT_FC1001220	Daytime dozing / sleeping (narcolepsy)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001220	MONDO_0021107	snpnet		GRCh37	4194	0
PGS000993	GBE_QT_FC1001329	Oily fish intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001329	EFO_0010139	snpnet		GRCh37	3925	0
PGS001067	GBE_QT_FC1001349	Processed meat intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001349	EFO_0008111	snpnet		GRCh37	2346	0
PGS001066	GBE_QT_FC1001359	Poultry intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001359	EFO_0008111	snpnet		GRCh37	1609	0
PGS001056	GBE_QT_FC1001369	Beef intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001369	EFO_0008111	snpnet		GRCh37	991	0
PGS001060	GBE_QT_FC1001408	Cheese intake	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001408	EFO_0008111	snpnet		GRCh37	6678	0
PGS001087	GBE_QT_FC1001558	Alcohol intake frequency.	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/QT_FC1001558	EFO_0007878	snpnet		GRCh37	8353	0
	GBE_INI4194	Pulse rate	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4194		snpnet		GRCh37	4117	0
	GBE_INI4198	Position of the pulse wave peak	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4198		snpnet		GRCh37	1358	0
	GBE_INI4199	Position of pulse wave notch	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4199		snpnet		GRCh37	693	0
PGS001233	GBE_INI102	Pulse rate (AR)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI102	EFO_0004326	snpnet		GRCh37	14455	0
PGS001133	GBE_INI4079	Diastolic BP (AR)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4079	EFO_0006336	snpnet		GRCh37	14103	0
PGS001134	GBE_INI4080	Systolic BP (AR)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI4080	EFO_0006335	snpnet		GRCh37	15481	0
	GBE_INI95	Pulse rate (during blood-pressure measurement)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI95		snpnet		GRCh37	765	0
PGS001232	GBE_INI20016	Fluid intelligence score	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI20016	EFO_0004337	snpnet		GRCh37	10055	0
	GBE_INI100010	Portion size	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI100010		snpnet		GRCh37	591	0
	GBE_INI25056	Mean FA in middle cerebellar peduncle on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25056		snpnet		GRCh37	1140	0
	GBE_INI25058	Mean FA in genu of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25058		snpnet		GRCh37	1073	0
	GBE_INI25059	Mean FA in body of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25059		snpnet		GRCh37	754	0
	GBE_INI25060	Mean FA in splenium of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25060		snpnet		GRCh37	598	0
	GBE_INI25061	Mean FA in fornix on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25061		snpnet		GRCh37	836	0
	GBE_INI25062	Mean FA in corticospinal tract on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25062		snpnet		GRCh37	342	0
	GBE_INI25066	Mean FA in inferior cerebellar peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25066		snpnet		GRCh37	946	0
	GBE_INI25068	Mean FA in superior cerebellar peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25068		snpnet		GRCh37	1860	0
	GBE_INI25069	Mean FA in superior cerebellar peduncle on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25069		snpnet		GRCh37	1647	0
	GBE_INI25071	Mean FA in cerebral peduncle on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25071		snpnet		GRCh37	1295	0
	GBE_INI25072	Mean FA in anterior limb of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25072		snpnet		GRCh37	1280	0
	GBE_INI25073	Mean FA in anterior limb of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25073		snpnet		GRCh37	731	0
	GBE_INI25074	Mean FA in posterior limb of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25074		snpnet		GRCh37	2080	0
	GBE_INI25075	Mean FA in posterior limb of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25075		snpnet		GRCh37	1796	0
	GBE_INI25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25076		snpnet		GRCh37	456	0
	GBE_INI25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25077		snpnet		GRCh37	1164	0
	GBE_INI25080	Mean FA in superior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25080		snpnet		GRCh37	1238	0
	GBE_INI25081	Mean FA in superior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25081		snpnet		GRCh37	821	0
	GBE_INI25084	Mean FA in posterior thalamic radiation on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25084		snpnet		GRCh37	1877	0
	GBE_INI25085	Mean FA in posterior thalamic radiation on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25085		snpnet		GRCh37	1654	0
	GBE_INI25086	Mean FA in sagittal stratum on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25086		snpnet		GRCh37	1445	0
	GBE_INI25087	Mean FA in sagittal stratum on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25087		snpnet		GRCh37	1376	0
	GBE_INI25088	Mean FA in external capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25088		snpnet		GRCh37	940	0
	GBE_INI25090	Mean FA in cingulum cingulate gyrus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25090		snpnet		GRCh37	1224	0
	GBE_INI25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25091		snpnet		GRCh37	895	0
	GBE_INI25092	Mean FA in cingulum hippocampus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25092		snpnet		GRCh37	879	0
	GBE_INI25093	Mean FA in cingulum hippocampus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25093		snpnet		GRCh37	330	0
	GBE_INI25094	Mean FA in fornix cres+stria terminalis on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25094		snpnet		GRCh37	1174	0
	GBE_INI25096	Mean FA in superior longitudinal fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25096		snpnet		GRCh37	1463	0
	GBE_INI25097	Mean FA in superior longitudinal fasciculus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25097		snpnet		GRCh37	3389	0
	GBE_INI25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25098		snpnet		GRCh37	480	0
	GBE_INI25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25099		snpnet		GRCh37	1286	0
	GBE_INI25100	Mean FA in uncinate fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25100		snpnet		GRCh37	727	0
	GBE_INI25102	Mean FA in tapetum on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25102		snpnet		GRCh37	1948	0
	GBE_INI25103	Mean FA in tapetum on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25103		snpnet		GRCh37	1202	0
	GBE_INI25344	Mean ICVF in middle cerebellar peduncle on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25344		snpnet		GRCh37	1580	0
	GBE_INI25346	Mean ICVF in genu of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25346		snpnet		GRCh37	2530	0
	GBE_INI25347	Mean ICVF in body of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25347		snpnet		GRCh37	2881	0
	GBE_INI25349	Mean ICVF in fornix on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25349		snpnet		GRCh37	188	0
	GBE_INI25352	Mean ICVF in medial lemniscus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25352		snpnet		GRCh37	250	0
	GBE_INI25353	Mean ICVF in medial lemniscus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25353		snpnet		GRCh37	246	0
	GBE_INI25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25354		snpnet		GRCh37	1262	0
	GBE_INI25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25355		snpnet		GRCh37	711	0
	GBE_INI25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25356		snpnet		GRCh37	1420	0
	GBE_INI25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25357		snpnet		GRCh37	2068	0
	GBE_INI25358	Mean ICVF in cerebral peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25358		snpnet		GRCh37	1501	0
	GBE_INI25359	Mean ICVF in cerebral peduncle on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25359		snpnet		GRCh37	1907	0
	GBE_INI25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25360		snpnet		GRCh37	1308	0
	GBE_INI25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25361		snpnet		GRCh37	870	0
	GBE_INI25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25362		snpnet		GRCh37	1957	0
	GBE_INI25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25363		snpnet		GRCh37	2010	0
	GBE_INI25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25364		snpnet		GRCh37	2113	0
	GBE_INI25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25365		snpnet		GRCh37	2268	0
	GBE_INI25366	Mean ICVF in anterior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25366		snpnet		GRCh37	2090	0
	GBE_INI25367	Mean ICVF in anterior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25367		snpnet		GRCh37	1490	0
	GBE_INI25368	Mean ICVF in superior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25368		snpnet		GRCh37	2299	0
	GBE_INI25369	Mean ICVF in superior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25369		snpnet		GRCh37	2789	0
	GBE_INI25370	Mean ICVF in posterior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25370		snpnet		GRCh37	1934	0
	GBE_INI25371	Mean ICVF in posterior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25371		snpnet		GRCh37	2727	0
	GBE_INI25372	Mean ICVF in posterior thalamic radiation on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25372		snpnet		GRCh37	1753	0
	GBE_INI25373	Mean ICVF in posterior thalamic radiation on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25373		snpnet		GRCh37	2073	0
	GBE_INI25374	Mean ICVF in sagittal stratum on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25374		snpnet		GRCh37	2195	0
	GBE_INI25375	Mean ICVF in sagittal stratum on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25375		snpnet		GRCh37	1651	0
	GBE_INI25376	Mean ICVF in external capsule on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25376		snpnet		GRCh37	1316	0
	GBE_INI25377	Mean ICVF in external capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25377		snpnet		GRCh37	724	0
	GBE_INI25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25378		snpnet		GRCh37	3061	0
	GBE_INI25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25379		snpnet		GRCh37	1929	0
	GBE_INI25380	Mean ICVF in cingulum hippocampus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25380		snpnet		GRCh37	2400	0
	GBE_INI25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25381		snpnet		GRCh37	1153	0
	GBE_INI25382	Mean ICVF in fornix cres+stria terminalis on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25382		snpnet		GRCh37	2387	0
	GBE_INI25383	Mean ICVF in fornix cres+stria terminalis on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25383		snpnet		GRCh37	1353	0
	GBE_INI25384	Mean ICVF in superior longitudinal fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25384		snpnet		GRCh37	1750	0
	GBE_INI25385	Mean ICVF in superior longitudinal fasciculus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25385		snpnet		GRCh37	1974	0
	GBE_INI25386	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25386		snpnet		GRCh37	703	0
	GBE_INI25387	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25387		snpnet		GRCh37	402	0
	GBE_INI25388	Mean ICVF in uncinate fasciculus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25388		snpnet		GRCh37	641	0
	GBE_INI25389	Mean ICVF in uncinate fasciculus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25389		snpnet		GRCh37	962	0
	GBE_INI25391	Mean ICVF in tapetum on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25391		snpnet		GRCh37	1117	0
	GBE_INI25443	Mean ISOVF in body of corpus callosum on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25443		snpnet		GRCh37	627	0
	GBE_INI25445	Mean ISOVF in fornix on FA skeleton	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25445		snpnet		GRCh37	733	0
	GBE_INI25452	Mean ISOVF in superior cerebellar peduncle on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25452		snpnet		GRCh37	666	0
	GBE_INI25462	Mean ISOVF in anterior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25462		snpnet		GRCh37	116	0
	GBE_INI25463	Mean ISOVF in anterior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25463		snpnet		GRCh37	393	0
	GBE_INI25464	Mean ISOVF in superior corona radiata on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25464		snpnet		GRCh37	392	0
	GBE_INI25465	Mean ISOVF in superior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25465		snpnet		GRCh37	257	0
	GBE_INI25467	Mean ISOVF in posterior corona radiata on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25467		snpnet		GRCh37	466	0
	GBE_INI25469	Mean ISOVF in posterior thalamic radiation on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25469		snpnet		GRCh37	554	0
	GBE_INI25470	Mean ISOVF in sagittal stratum on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25470		snpnet		GRCh37	709	0
	GBE_INI25471	Mean ISOVF in sagittal stratum on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25471		snpnet		GRCh37	400	0
	GBE_INI25473	Mean ISOVF in external capsule on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25473		snpnet		GRCh37	142	0
	GBE_INI25474	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25474		snpnet		GRCh37	157	0
	GBE_INI25475	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25475		snpnet		GRCh37	114	0
	GBE_INI25488	WA FA in tract acoustic radiation (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25488		snpnet		GRCh37	1025	0
	GBE_INI25489	WA FA in tract acoustic radiation (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25489		snpnet		GRCh37	826	0
	GBE_INI25490	WA FA in tract anterior thalamic radiation (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25490		snpnet		GRCh37	379	0
	GBE_INI25491	WA FA in tract anterior thalamic radiation (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25491		snpnet		GRCh37	726	0
	GBE_INI25492	WA FA in tract cingulate gyrus part of cingulum (L)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25492		snpnet		GRCh37	773	0
	GBE_INI25493	WA FA in tract cingulate gyrus part of cingulum (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25493		snpnet		GRCh37	702	0
	GBE_INI25497	WA FA in tract corticospinal tract (R)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25497		snpnet		GRCh37	60	0
	GBE_INI25498	WA FA in tract forceps major	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/INI25498		snpnet		GRCh37	1261	0
