#trait	trait_name	trait_category	trait_category_plot	family
INI23125	Arm fat-free mass (L)	Anthropometry	Anthropometry	gaussian
INI23126	Arm pred. mass (L)	Anthropometry	Anthropometry	gaussian
INI23127	Trunk fat %	Anthropometry	Anthropometry	gaussian
INI23128	Trunk fat mass	Anthropometry	Anthropometry	gaussian
INI23129	Trunk fat-free mass	Anthropometry	Anthropometry	gaussian
INI23130	Trunk pred. mass	Anthropometry	Anthropometry	gaussian
INI48	Waist circumference	Anthropometry	Anthropometry	gaussian
INI49	Hip circumference	Anthropometry	Anthropometry	gaussian
INI50	Standing height	Anthropometry	Anthropometry	gaussian
INI30030650	AST to ALT ratio	Biomarkers	Biomarkers	gaussian
INI30030700	eGFR	Biomarkers	Biomarkers	gaussian
INI30030860	Non-albumin protein	Biomarkers	Biomarkers	gaussian
INI30500	Microalbumin in urine	Biomarkers	Biomarkers	gaussian
INI30510	Creatinine (enzymatic) in urine	Biomarkers	Biomarkers	gaussian
INI30520	Potassium in urine	Biomarkers	Biomarkers	gaussian
INI30530	Sodium in urine	Biomarkers	Biomarkers	gaussian
INI30600	Albumin	Biomarkers	Biomarkers	gaussian
INI30610	Alkaline phosphatase	Biomarkers	Biomarkers	gaussian
INI30620	Alanine aminotransferase	Biomarkers	Biomarkers	gaussian
INI30630	Apolipoprotein A	Biomarkers	Biomarkers	gaussian
INI30640	Apolipoprotein B	Biomarkers	Biomarkers	gaussian
INI30650	Aspartate aminotransferase	Biomarkers	Biomarkers	gaussian
INI30660	Direct bilirubin	Biomarkers	Biomarkers	gaussian
INI30670	Urea	Biomarkers	Biomarkers	gaussian
INI30680	Calcium	Biomarkers	Biomarkers	gaussian
INI30690	Cholesterol	Biomarkers	Biomarkers	gaussian
INI30700	Creatinine	Biomarkers	Biomarkers	gaussian
INI30710	C-reactive protein	Biomarkers	Biomarkers	gaussian
INI30720	Cystatin C	Biomarkers	Biomarkers	gaussian
INI30730	Gamma glutamyltransferase	Biomarkers	Biomarkers	gaussian
INI30740	Glucose	Biomarkers	Biomarkers	gaussian
INI30750	Glycated haemoglobin (HbA1c)	Biomarkers	Biomarkers	gaussian
INI30760	HDL cholesterol	Biomarkers	Biomarkers	gaussian
INI30770	IGF-1	Biomarkers	Biomarkers	gaussian
INI30780	LDL cholesterol	Biomarkers	Biomarkers	gaussian
INI30790	Lipoprotein A	Biomarkers	Biomarkers	gaussian
INI30810	Phosphate	Biomarkers	Biomarkers	gaussian
INI30830	SHBG	Biomarkers	Biomarkers	gaussian
INI30840	Total bilirubin	Biomarkers	Biomarkers	gaussian
INI30850	Testosterone	Biomarkers	Biomarkers	gaussian
INI30860	Total protein	Biomarkers	Biomarkers	gaussian
INI30870	Triglycerides	Biomarkers	Biomarkers	gaussian
INI30880	Urate	Biomarkers	Biomarkers	gaussian
INI30890	Vitamin D	Biomarkers	Biomarkers	gaussian
INI23002	GE / gI antigen for Varicella Zoster Virus	Blood_assays	Blood assays	gaussian
INI23003	VCA p18 antigen for Epstein-Barr Virus	Blood_assays	Blood assays	gaussian
INI23004	EBNA-1 antigen for Epstein-Barr Virus	Blood_assays	Blood assays	gaussian
INI23005	ZEBRA antigen for Epstein-Barr Virus	Blood_assays	Blood assays	gaussian
INI23006	EA-D antigen for Epstein-Barr Virus	Blood_assays	Blood assays	gaussian
INI23008	Pp 52 antigen for Human Cytomegalovirus	Blood_assays	Blood assays	gaussian
INI23009	Pp 28 antigen for Human Cytomegalovirus	Blood_assays	Blood assays	gaussian
INI23010	IE1A antigen for Human Herpesvirus-6	Blood_assays	Blood assays	gaussian
INI23011	IE1B antigen for Human Herpesvirus-6	Blood_assays	Blood assays	gaussian
INI23013	U14 antigen for Human Herpesvirus-7	Blood_assays	Blood assays	gaussian
INI23019	NS3 antigen for Hepatitis C Virus	Blood_assays	Blood assays	gaussian
INI23020	P22 antigen for Toxoplasma gondii	Blood_assays	Blood assays	gaussian
INI23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Blood_assays	Blood assays	gaussian
INI23023	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	Blood_assays	Blood assays	gaussian
INI23025	HIV-1 env antigen for Human Immunodeficiency Virus	Blood_assays	Blood assays	gaussian
INI23026	BK VP1 antigen for Human Polyomavirus BKV	Blood_assays	Blood assays	gaussian
INI23027	JC VP1 antigen for Human Polyomavirus JCV	Blood_assays	Blood assays	gaussian
INI23028	MC VP1 antigen for Merkel Cell Polyomavirus	Blood_assays	Blood assays	gaussian
INI23030	E6 antigen for Human Papillomavirus type-16	Blood_assays	Blood assays	gaussian
INI23032	L1 antigen for Human Papillomavirus type-18	Blood_assays	Blood assays	gaussian
INI23034	Momp A antigen for Chlamydia trachomatis	Blood_assays	Blood assays	gaussian
INI23035	Tarp-D F1 antigen for Chlamydia trachomatis	Blood_assays	Blood assays	gaussian
INI23036	Tarp-D F2 antigen for Chlamydia trachomatis	Blood_assays	Blood assays	gaussian
INI23037	PorB antigen for Chlamydia trachomatis	Blood_assays	Blood assays	gaussian
INI23040	VacA antigen for Helicobacter pylori	Blood_assays	Blood assays	gaussian
INI23041	OMP antigen for Helicobacter pylori	Blood_assays	Blood assays	gaussian
INI30000	White blood cell count	Blood_assays	Blood assays	gaussian
INI30010	Red blood cell count	Blood_assays	Blood assays	gaussian
INI30020	Haemoglobin concentration	Blood_assays	Blood assays	gaussian
INI30030	Haematocrit %	Blood_assays	Blood assays	gaussian
INI30040	Mean corpuscular volume	Blood_assays	Blood assays	gaussian
INI30050	Mean corpuscular haemoglobin	Blood_assays	Blood assays	gaussian
INI30060	Mean corpuscular haemoglobin concentration	Blood_assays	Blood assays	gaussian
INI30070	Red blood cell distribution width	Blood_assays	Blood assays	gaussian
INI30080	Platelet count	Blood_assays	Blood assays	gaussian
INI30090	Platelet crit	Blood_assays	Blood assays	gaussian
INI30100	Mean platelet volume	Blood_assays	Blood assays	gaussian
INI30110	Platelet distribution width	Blood_assays	Blood assays	gaussian
INI30120	Lymphocyte count	Blood_assays	Blood assays	gaussian
INI30130	Monocyte count	Blood_assays	Blood assays	gaussian
INI30140	Neutrophill count	Blood_assays	Blood assays	gaussian
INI30150	Eosinophill count	Blood_assays	Blood assays	gaussian
INI30160	Basophill count	Blood_assays	Blood assays	gaussian
INI30180	Lymphocyte %	Blood_assays	Blood assays	gaussian
INI30190	Monocyte %	Blood_assays	Blood assays	gaussian
INI30200	Neutrophill %	Blood_assays	Blood assays	gaussian
INI30210	Eosinophill %	Blood_assays	Blood assays	gaussian
INI30220	Basophill %	Blood_assays	Blood assays	gaussian
INI30240	Reticulocyte %	Blood_assays	Blood assays	gaussian
INI30250	Reticulocyte count	Blood_assays	Blood assays	gaussian
INI30260	Mean reticulocyte volume	Blood_assays	Blood assays	gaussian
INI30280	Immature reticulocyte fraction	Blood_assays	Blood assays	gaussian
INI30290	High light scatter reticulocyte %	Blood_assays	Blood assays	gaussian
INI30300	High light scatter reticulocyte count	Blood_assays	Blood assays	gaussian
INI30820	Rheumatoid factor	Blood_assays	Blood assays	gaussian
INI3143	Ankle spacing width	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI3144	Heel Broadband ultrasound attenuation, direct entry	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI3146	Speed of sound through heel	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI3147	Heel quantitative ultrasound index (QUI), direct entry	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI3148	Heel bone mineral density (BMD)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4100	Ankle spacing width (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4101	Heel broadband ultrasound attenuation (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4103	Speed of sound through heel (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4104	Heel quantitative ultrasound index (QUI), direct entry (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4105	Heel bone mineral density (BMD) (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4106	Heel bone mineral density (BMD) T-score, automated (L)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4119	Ankle spacing width (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4120	Heel broadband ultrasound attenuation (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4122	Speed of sound through heel (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4123	Heel quantitative ultrasound index (QUI), direct entry (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4124	Heel bone mineral density (BMD) (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI4125	Heel bone mineral density (BMD) T-score, automated (R)	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI78	Heel bone mineral density (BMD) T-score, automated	Bone-densitometry_of_heel	Bone-densitometry of heel	gaussian
INI1050	Time spend outdoors in summer	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1060	Outdoor time, winter	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1160	Sleep duration	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1289	Cooked vegetable intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1299	Salad / raw vegetable intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1309	Fresh fruit intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1319	Dried fruit intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1438	Bread intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1458	Cereal intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1488	Tea intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1498	Coffee intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1528	Water intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1548	Variation in diet	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1578	Ave. weekly champagne plus white wine intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1588	Ave. weekly beer plus cider intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1598	Ave. weekly spirits intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1608	Ave. weekly fortified wine intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI1737	Childhood sunburn	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2139	Age first had sexual intercourse	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2149	Lifetime # of sexual partners	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2237	Freq. of playing computer games	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2624	Freq. of heavy DIY in last 4 weeks	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2867	Age started smoking in former smokers	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2887	# of cigarettes previously smoked daily	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2897	Age stopped smoking	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI2926	# of unsuccessful stop-smoking attempts	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI3436	Age started smoking in current smokers	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI3456	# of cigarettes currently smoked daily (current cigarette smokers)	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI3637	Freq. of other exercises in last 4 weeks	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI3680	Age when last ate meat	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI4440	Ave. monthly spirits intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI4451	Ave. monthly fortified wine intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI874	Duration of walks	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI924	Usual walking pace	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI971	Freq. of walking for pleasure in last 4 weeks	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI981	Duration walking for pleasure	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI991	Freq. of strenuous sports in last 4 weeks	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC10001478	Salt added to food	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC10003466	Time from waking to first cigarette	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC10003476	Difficulty not smoking for 1 day	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC10003506	Smoking compared to 10 years previous	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001170	Getting up in morning	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001180	Morning/evening person (chronotype)	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001190	Nap during day	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001220	Daytime dozing / sleeping (narcolepsy)	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001329	Oily fish intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001349	Processed meat intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001359	Poultry intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001369	Beef intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001408	Cheese intake	Lifestyle_and_environment	Lifestyle and environment	gaussian
QT_FC1001558	Alcohol intake frequency.	Lifestyle_and_environment	Lifestyle and environment	gaussian
INI22405	Anterior thigh lean muscle volume (L)	Abdominal_MRI	Others	gaussian
INI22407	Visceral adipose tissue volume (VAT)	Abdominal_MRI	Others	gaussian
INI4194	Pulse rate	Arterial_stiffness	Others	gaussian
INI4198	Position of the pulse wave peak	Arterial_stiffness	Others	gaussian
INI4199	Position of pulse wave notch	Arterial_stiffness	Others	gaussian
INI102	Pulse rate (AR)	Blood_pressure	Others	gaussian
INI4079	Diastolic BP (AR)	Blood_pressure	Others	gaussian
INI4080	Systolic BP (AR)	Blood_pressure	Others	gaussian
INI95	Pulse rate (during blood-pressure measurement)	Blood_pressure	Others	gaussian
INI40008	Age at cancer diagnosis	Cancer_register	Others	gaussian
INI22670	Minimum carotid IMT (intima-medial thickness) at 120 degrees	Carotid_ultrasound	Others	gaussian
INI22671	Mean carotid IMT (intima-medial thickness) at 120 degrees	Carotid_ultrasound	Others	gaussian
INI22672	Maximum carotid IMT (intima-medial thickness) at 120 degrees	Carotid_ultrasound	Others	gaussian
INI22673	Minimum carotid IMT (intima-medial thickness) at 150 degrees	Carotid_ultrasound	Others	gaussian
INI22674	Mean carotid IMT (intima-medial thickness) at 150 degrees	Carotid_ultrasound	Others	gaussian
INI20016	Fluid intelligence score	Cognitive_function	Others	gaussian
INI40007	Age at death	Death_register	Others	gaussian
INI100010	Portion size	Diet_by_24-hour_recall	Others	gaussian
INI104900	Time spent doing vigorous physical activity	Diet_by_24-hour_recall	Others	gaussian
INI104920	Time spent doing light physical activity	Diet_by_24-hour_recall	Others	gaussian
INI25056	Mean FA in middle cerebellar peduncle on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25057	Mean FA in pontine crossing tract on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25058	Mean FA in genu of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25059	Mean FA in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25060	Mean FA in splenium of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25061	Mean FA in fornix on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25062	Mean FA in corticospinal tract on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25063	Mean FA in corticospinal tract on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25064	Mean FA in medial lemniscus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25066	Mean FA in inferior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25067	Mean FA in inferior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25068	Mean FA in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25069	Mean FA in superior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25071	Mean FA in cerebral peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25072	Mean FA in anterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25073	Mean FA in anterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25074	Mean FA in posterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25075	Mean FA in posterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25078	Mean FA in anterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25079	Mean FA in anterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25080	Mean FA in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25081	Mean FA in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25083	Mean FA in posterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25084	Mean FA in posterior thalamic radiation on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25085	Mean FA in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25086	Mean FA in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25087	Mean FA in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25088	Mean FA in external capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25089	Mean FA in external capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25090	Mean FA in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25092	Mean FA in cingulum hippocampus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25093	Mean FA in cingulum hippocampus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25094	Mean FA in fornix cres+stria terminalis on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25096	Mean FA in superior longitudinal fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25097	Mean FA in superior longitudinal fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25100	Mean FA in uncinate fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25101	Mean FA in uncinate fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25102	Mean FA in tapetum on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25103	Mean FA in tapetum on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25344	Mean ICVF in middle cerebellar peduncle on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25345	Mean ICVF in pontine crossing tract on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25346	Mean ICVF in genu of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25347	Mean ICVF in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25349	Mean ICVF in fornix on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25350	Mean ICVF in corticospinal tract on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25351	Mean ICVF in corticospinal tract on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25352	Mean ICVF in medial lemniscus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25353	Mean ICVF in medial lemniscus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25358	Mean ICVF in cerebral peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25359	Mean ICVF in cerebral peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25366	Mean ICVF in anterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25367	Mean ICVF in anterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25368	Mean ICVF in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25369	Mean ICVF in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25370	Mean ICVF in posterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25371	Mean ICVF in posterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25372	Mean ICVF in posterior thalamic radiation on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25373	Mean ICVF in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25374	Mean ICVF in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25375	Mean ICVF in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25376	Mean ICVF in external capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25377	Mean ICVF in external capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25379	Mean ICVF in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25380	Mean ICVF in cingulum hippocampus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25381	Mean ICVF in cingulum hippocampus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25382	Mean ICVF in fornix cres+stria terminalis on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25383	Mean ICVF in fornix cres+stria terminalis on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25384	Mean ICVF in superior longitudinal fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25385	Mean ICVF in superior longitudinal fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25386	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25387	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25388	Mean ICVF in uncinate fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25389	Mean ICVF in uncinate fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25391	Mean ICVF in tapetum on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25440	Mean ISOVF in middle cerebellar peduncle on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25441	Mean ISOVF in pontine crossing tract on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25443	Mean ISOVF in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25445	Mean ISOVF in fornix on FA skeleton	Diffusion_brain_MRI	Others	gaussian
INI25446	Mean ISOVF in corticospinal tract on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25447	Mean ISOVF in corticospinal tract on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25451	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25452	Mean ISOVF in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25453	Mean ISOVF in superior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25457	Mean ISOVF in anterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25458	Mean ISOVF in posterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25460	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25461	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25462	Mean ISOVF in anterior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25463	Mean ISOVF in anterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25464	Mean ISOVF in superior corona radiata on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25465	Mean ISOVF in superior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25467	Mean ISOVF in posterior corona radiata on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25469	Mean ISOVF in posterior thalamic radiation on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25470	Mean ISOVF in sagittal stratum on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25471	Mean ISOVF in sagittal stratum on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25473	Mean ISOVF in external capsule on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25474	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25475	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25482	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (R)	Diffusion_brain_MRI	Others	gaussian
INI25483	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (L)	Diffusion_brain_MRI	Others	gaussian
INI25488	WA FA in tract acoustic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25489	WA FA in tract acoustic radiation (R)	Diffusion_brain_MRI	Others	gaussian
INI25490	WA FA in tract anterior thalamic radiation (L)	Diffusion_brain_MRI	Others	gaussian
INI25491	WA FA in tract anterior thalamic radiation (R)	Diffusion_brain_MRI	Others	gaussian
