#trait	trait_name	trait_category	family	h2_obs	h2_obs_se	lambda_GC	mean_chi2	intercept	intercept_se	ratio	ratio_se	WB_case_n	WB_control_n	WB_prev	WB_prev_z	h2_liability
INI23122	Arm pred. mass (R)	Anthropometry	gaussian	0.2561	0.0105	1.6221	2.2024	1.0865	0.0133	0.072	0.011	NA	NA	NA	NA	NA
INI23123	Arm fat % (L)	Anthropometry	gaussian	0.1995	0.0082	1.5696	1.8693	1.0666	0.0093	0.0766	0.0107	NA	NA	NA	NA	NA
INI23124	Arm fat mass (L)	Anthropometry	gaussian	0.2108	0.0091	1.5733	1.9151	1.0569	0.0102	0.0621	0.0112	NA	NA	NA	NA	NA
INI23125	Arm fat-free mass (L)	Anthropometry	gaussian	0.2555	0.0104	1.6296	2.2014	1.0858	0.0132	0.0715	0.011	NA	NA	NA	NA	NA
INI23126	Arm pred. mass (L)	Anthropometry	gaussian	0.2554	0.0104	1.6259	2.1959	1.0849	0.0136	0.071	0.0114	NA	NA	NA	NA	NA
INI23127	Trunk fat %	Anthropometry	gaussian	0.1953	0.0073	1.5585	1.8643	1.0719	0.0098	0.0831	0.0113	NA	NA	NA	NA	NA
INI23128	Trunk fat mass	Anthropometry	gaussian	0.2145	0.0088	1.5883	1.9538	1.0654	0.0105	0.0686	0.011	NA	NA	NA	NA	NA
INI23129	Trunk fat-free mass	Anthropometry	gaussian	0.2792	0.0117	1.6562	2.3591	1.1118	0.0145	0.0822	0.0107	NA	NA	NA	NA	NA
INI23130	Trunk pred. mass	Anthropometry	gaussian	0.2775	0.0117	1.6524	2.3525	1.1123	0.0144	0.083	0.0106	NA	NA	NA	NA	NA
INI48	Waist circumference	Anthropometry	gaussian	0.19	0.0083	1.5254	1.7928	1.0479	0.0101	0.0604	0.0128	NA	NA	NA	NA	NA
INI49	Hip circumference	Anthropometry	gaussian	0.2062	0.0091	1.5585	1.9495	1.0547	0.0107	0.0576	0.0113	NA	NA	NA	NA	NA
INI50	Standing height	Anthropometry	gaussian	0.4359	0.0199	1.885	3.3568	1.2484	0.0214	0.1054	0.0091	NA	NA	NA	NA	NA
INI30030650	AST to ALT ratio	Biomarkers	gaussian	0.1441	0.0104	1.3169	1.7043	1.0467	0.0103	0.0663	0.0147	NA	NA	NA	NA	NA
INI30030700	eGFR	Biomarkers	gaussian	0.1783	0.011	1.4175	1.8776	1.1063	0.0125	0.1212	0.0142	NA	NA	NA	NA	NA
INI30030860	Non-albumin protein	Biomarkers	gaussian	0.1901	0.0176	1.3477	2.2908	1.0861	0.0129	0.0667	0.01	NA	NA	NA	NA	NA
INI30510	Creatinine (enzymatic) in urine	Biomarkers	gaussian	0.0588	0.003	1.207	1.2569	1.0142	0.0066	0.0552	0.0259	NA	NA	NA	NA	NA
INI30520	Potassium in urine	Biomarkers	gaussian	0.0382	0.0027	1.1428	1.1996	1.0128	0.0068	0.064	0.0342	NA	NA	NA	NA	NA
INI30530	Sodium in urine	Biomarkers	gaussian	0.0643	0.0032	1.2201	1.2775	1.0229	0.0075	0.0824	0.0269	NA	NA	NA	NA	NA
INI30600	Albumin	Biomarkers	gaussian	0.1428	0.0098	1.2966	1.5785	1.0419	0.0097	0.0724	0.0168	NA	NA	NA	NA	NA
INI30610	Alkaline phosphatase	Biomarkers	gaussian	0.2548	0.0475	1.3512	2.1256	1.1015	0.0138	0.0902	0.0122	NA	NA	NA	NA	NA
INI30620	Alanine aminotransferase	Biomarkers	gaussian	0.1183	0.0079	1.2831	1.5638	1.0563	0.0099	0.0999	0.0175	NA	NA	NA	NA	NA
INI30630	Apolipoprotein A	Biomarkers	gaussian	0.2382	0.0391	1.365	1.939	1.0775	0.0124	0.0825	0.0132	NA	NA	NA	NA	NA
INI30640	Apolipoprotein B	Biomarkers	gaussian	0.1825	0.0659	1.1973	1.6969	1.0634	0.0144	0.091	0.0207	NA	NA	NA	NA	NA
INI30650	Aspartate aminotransferase	Biomarkers	gaussian	0.1278	0.0119	1.2899	1.9855	1.0747	0.0104	0.0758	0.0106	NA	NA	NA	NA	NA
INI30660	Direct bilirubin	Biomarkers	gaussian	0.1536	0.09	1.1428	1.4835	1.0183	0.0091	0.0378	0.0188	NA	NA	NA	NA	NA
INI30670	Urea	Biomarkers	gaussian	0.1097	0.0072	1.2631	1.4559	1.0408	0.0088	0.0895	0.0193	NA	NA	NA	NA	NA
INI30680	Calcium	Biomarkers	gaussian	0.1219	0.011	1.2531	1.4955	1.0436	0.0084	0.088	0.0169	NA	NA	NA	NA	NA
INI30690	Cholesterol	Biomarkers	gaussian	0.1523	0.0372	1.2103	1.7022	1.0596	0.0121	0.0849	0.0173	NA	NA	NA	NA	NA
INI30700	Creatinine	Biomarkers	gaussian	0.1832	0.0108	1.4192	1.9054	1.0992	0.0122	0.1095	0.0135	NA	NA	NA	NA	NA
INI30710	C-reactive protein	Biomarkers	gaussian	0.2125	0.0445	1.3685	1.9257	1.0722	0.0121	0.078	0.0131	NA	NA	NA	NA	NA
INI30720	Cystatin C	Biomarkers	gaussian	0.2158	0.0307	1.4817	2.0981	1.1021	0.0126	0.093	0.0114	NA	NA	NA	NA	NA
INI30730	Gamma glutamyltransferase	Biomarkers	gaussian	0.1982	0.02	1.3929	1.8909	1.0901	0.0117	0.1012	0.0131	NA	NA	NA	NA	NA
INI30740	Glucose	Biomarkers	gaussian	0.0769	0.0108	1.1747	1.3252	1.0436	0.0091	0.1341	0.0281	NA	NA	NA	NA	NA
INI30750	Glycated haemoglobin (HbA1c)	Biomarkers	gaussian	0.2098	0.0183	1.3999	2.1843	1.1068	0.0134	0.0902	0.0113	NA	NA	NA	NA	NA
INI30760	HDL cholesterol	Biomarkers	gaussian	0.2702	0.0445	1.4104	2.0348	1.0851	0.0125	0.0822	0.0121	NA	NA	NA	NA	NA
INI30770	IGF-1	Biomarkers	gaussian	0.2128	0.0127	1.453	2.0543	1.0981	0.0123	0.0931	0.0117	NA	NA	NA	NA	NA
INI30780	LDL cholesterol	Biomarkers	gaussian	0.1494	0.0468	1.194	1.6178	1.0531	0.0121	0.0859	0.0196	NA	NA	NA	NA	NA
INI30790	Lipoprotein A	Biomarkers	gaussian	0.1038	0.0964	1.0285	1.2791	1.0151	0.0109	0.0542	0.0391	NA	NA	NA	NA	NA
INI30810	Phosphate	Biomarkers	gaussian	0.1051	0.0107	1.2431	1.4601	1.0605	0.0086	0.1314	0.0187	NA	NA	NA	NA	NA
INI30830	SHBG	Biomarkers	gaussian	0.2121	0.0402	1.3409	1.883	1.0851	0.0165	0.0963	0.0187	NA	NA	NA	NA	NA
INI30840	Total bilirubin	Biomarkers	gaussian	0.1841	0.1006	1.207	1.7372	1.0364	0.0114	0.0493	0.0155	NA	NA	NA	NA	NA
INI30850	Testosterone	Biomarkers	gaussian	0.077	0.0118	1.1651	1.3243	1.0275	0.0082	0.0848	0.0252	NA	NA	NA	NA	NA
INI30860	Total protein	Biomarkers	gaussian	0.165	0.0144	1.3443	2.103	1.073	0.0114	0.0662	0.0103	NA	NA	NA	NA	NA
INI30870	Triglycerides	Biomarkers	gaussian	0.2119	0.0264	1.3754	2.0324	1.062	0.0122	0.06	0.0119	NA	NA	NA	NA	NA
INI30880	Urate	Biomarkers	gaussian	0.1836	0.029	1.3581	1.9806	1.0532	0.0122	0.0543	0.0124	NA	NA	NA	NA	NA
INI30890	Vitamin D	Biomarkers	gaussian	0.0867	0.0153	1.2103	1.3662	1.0468	0.0087	0.1278	0.0238	NA	NA	NA	NA	NA
INI23002	GE / gI antigen for Varicella Zoster Virus	Blood_assays	gaussian	0.5228	0.4302	1.018	1.1216	1.0034	0.0096	0.0281	0.0787	NA	NA	NA	NA	NA
INI23004	EBNA-1 antigen for Epstein-Barr Virus	Blood_assays	gaussian	0.6469	0.4528	1.0165	1.0685	0.9842	0.0099	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI23005	ZEBRA antigen for Epstein-Barr Virus	Blood_assays	gaussian	0.7305	0.4862	1.0225	1.0927	0.9863	0.0098	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	Blood_assays	gaussian	0.4052	0.2689	1.0255	1.0528	0.9998	0.0079	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI23027	JC VP1 antigen for Human Polyomavirus JCV	Blood_assays	gaussian	0.5696	0.4975	1.0135	1.0757	0.9962	0.0091	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI23028	MC VP1 antigen for Merkel Cell Polyomavirus	Blood_assays	gaussian	0.6592	0.5192	1.0195	1.0888	0.9993	0.0092	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI30000	White blood cell count	Blood_assays	gaussian	0.1894	0.0158	1.4423	2.7593	1.1028	0.012	0.0584	0.0068	NA	NA	NA	NA	NA
INI30010	Red blood cell count	Blood_assays	gaussian	0.2191	0.0181	1.4316	2.1589	1.1021	0.0121	0.0881	0.0104	NA	NA	NA	NA	NA
INI30020	Haemoglobin concentration	Blood_assays	gaussian	0.1672	0.0135	1.3512	2.2206	1.0945	0.0127	0.0774	0.0104	NA	NA	NA	NA	NA
INI30030	Haematocrit %	Blood_assays	gaussian	0.1564	0.011	1.3477	1.9723	1.0912	0.0121	0.0938	0.0125	NA	NA	NA	NA	NA
INI30040	Mean corpuscular volume	Blood_assays	gaussian	0.2525	0.029	1.3719	2.516	1.1113	0.0181	0.0734	0.0119	NA	NA	NA	NA	NA
INI30050	Mean corpuscular haemoglobin	Blood_assays	gaussian	0.2509	0.0327	1.3512	2.6701	1.1024	0.0158	0.0613	0.0094	NA	NA	NA	NA	NA
INI30060	Mean corpuscular haemoglobin concentration	Blood_assays	gaussian	0.0651	0.0092	1.1683	1.4801	1.0574	0.0094	0.1195	0.0196	NA	NA	NA	NA	NA
INI30070	Red blood cell distribution width	Blood_assays	gaussian	0.1934	0.0187	1.3169	2.3772	1.1097	0.0147	0.0797	0.0106	NA	NA	NA	NA	NA
INI30080	Platelet count	Blood_assays	gaussian	0.2781	0.0238	1.4494	2.439	1.1256	0.0144	0.0873	0.01	NA	NA	NA	NA	NA
INI30090	Platelet crit	Blood_assays	gaussian	0.2445	0.0227	1.4245	2.1395	1.1135	0.0137	0.0996	0.012	NA	NA	NA	NA	NA
INI30100	Mean platelet volume	Blood_assays	gaussian	0.3458	0.0389	1.3894	2.7714	1.1336	0.015	0.0754	0.0084	NA	NA	NA	NA	NA
INI30110	Platelet distribution width	Blood_assays	gaussian	0.2282	0.0216	1.3203	2.1045	1.0863	0.0132	0.0781	0.012	NA	NA	NA	NA	NA
INI30120	Lymphocyte count	Blood_assays	gaussian	0.1912	0.0158	1.4316	2.6359	1.1008	0.0117	0.0616	0.0071	NA	NA	NA	NA	NA
INI30130	Monocyte count	Blood_assays	gaussian	0.2061	0.0184	1.3615	2.3931	1.1194	0.0134	0.0857	0.0096	NA	NA	NA	NA	NA
INI30140	Neutrophill count	Blood_assays	gaussian	0.1656	0.0141	1.3894	2.2418	1.0881	0.0114	0.071	0.0092	NA	NA	NA	NA	NA
INI30150	Eosinophill count	Blood_assays	gaussian	0.1957	0.0169	1.3615	2.4688	1.0967	0.0128	0.0658	0.0087	NA	NA	NA	NA	NA
INI30160	Basophill count	Blood_assays	gaussian	0.0488	0.0048	1.2136	1.3246	1.0962	0.0078	0.2962	0.024	NA	NA	NA	NA	NA
INI30180	Lymphocyte %	Blood_assays	gaussian	0.1509	0.0097	1.3409	1.7617	1.0777	0.0113	0.102	0.0148	NA	NA	NA	NA	NA
INI30190	Monocyte %	Blood_assays	gaussian	0.194	0.0193	1.2966	1.9237	1.0952	0.0111	0.1031	0.012	NA	NA	NA	NA	NA
INI30200	Neutrophill %	Blood_assays	gaussian	0.142	0.009	1.3238	1.7395	1.0707	0.0114	0.0956	0.0154	NA	NA	NA	NA	NA
INI30210	Eosinophill %	Blood_assays	gaussian	0.1895	0.0152	1.3409	2.1602	1.0937	0.0123	0.0808	0.0106	NA	NA	NA	NA	NA
INI30220	Basophill %	Blood_assays	gaussian	0.0512	0.0049	1.1175	1.2242	1.0224	0.0081	0.1001	0.0359	NA	NA	NA	NA	NA
INI30240	Reticulocyte %	Blood_assays	gaussian	0.1985	0.0171	1.3929	2.1438	1.081	0.0125	0.0708	0.0109	NA	NA	NA	NA	NA
INI30250	Reticulocyte count	Blood_assays	gaussian	0.2024	0.0166	1.4139	2.2029	1.0809	0.0123	0.0673	0.0102	NA	NA	NA	NA	NA
INI30260	Mean reticulocyte volume	Blood_assays	gaussian	0.2075	0.0206	1.3135	2.1834	1.0904	0.0125	0.0764	0.0105	NA	NA	NA	NA	NA
INI30280	Immature reticulocyte fraction	Blood_assays	gaussian	0.1475	0.0139	1.3034	1.6984	1.0646	0.012	0.0925	0.0172	NA	NA	NA	NA	NA
INI30290	High light scatter reticulocyte %	Blood_assays	gaussian	0.2114	0.0184	1.4175	2.1315	1.0777	0.0126	0.0686	0.0111	NA	NA	NA	NA	NA
INI30300	High light scatter reticulocyte count	Blood_assays	gaussian	0.2118	0.0179	1.4316	2.1743	1.0802	0.0128	0.0683	0.0109	NA	NA	NA	NA	NA
INI3143	Ankle spacing width	Bone-densitometry_of_heel	gaussian	0.2828	0.0131	1.4352	1.7723	1.0616	0.0097	0.0798	0.0125	NA	NA	NA	NA	NA
INI3144	Heel Broadband ultrasound attenuation, direct entry	Bone-densitometry_of_heel	gaussian	0.2387	0.0199	1.3	1.6437	1.0623	0.0094	0.0968	0.0146	NA	NA	NA	NA	NA
INI3146	Speed of sound through heel	Bone-densitometry_of_heel	gaussian	0.2592	0.0222	1.3169	1.7073	1.0772	0.0091	0.1091	0.0129	NA	NA	NA	NA	NA
INI3147	Heel quantitative ultrasound index (QUI), direct entry	Bone-densitometry_of_heel	gaussian	0.2625	0.0225	1.3203	1.7131	1.0735	0.0092	0.1031	0.0129	NA	NA	NA	NA	NA
INI3148	Heel bone mineral density (BMD)	Bone-densitometry_of_heel	gaussian	0.2639	0.0225	1.3203	1.7158	1.074	0.0093	0.1033	0.0129	NA	NA	NA	NA	NA
INI4100	Ankle spacing width (L)	Bone-densitometry_of_heel	gaussian	0.2921	0.0146	1.3034	1.5012	1.0285	0.0089	0.0569	0.0178	NA	NA	NA	NA	NA
INI4101	Heel broadband ultrasound attenuation (L)	Bone-densitometry_of_heel	gaussian	0.2361	0.0219	1.2234	1.4225	1.0381	0.0085	0.0901	0.02	NA	NA	NA	NA	NA
INI4103	Speed of sound through heel (L)	Bone-densitometry_of_heel	gaussian	0.2675	0.0245	1.2431	1.4648	1.0402	0.0089	0.0864	0.0191	NA	NA	NA	NA	NA
INI4104	Heel quantitative ultrasound index (QUI), direct entry (L)	Bone-densitometry_of_heel	gaussian	0.2661	0.0247	1.2398	1.4679	1.0413	0.0089	0.0884	0.0191	NA	NA	NA	NA	NA
INI4105	Heel bone mineral density (BMD) (L)	Bone-densitometry_of_heel	gaussian	0.268	0.0248	1.2398	1.4706	1.0406	0.0088	0.0863	0.0186	NA	NA	NA	NA	NA
INI4106	Heel bone mineral density (BMD) T-score, automated (L)	Bone-densitometry_of_heel	gaussian	0.2661	0.0247	1.2398	1.4679	1.0413	0.0089	0.0884	0.0191	NA	NA	NA	NA	NA
INI4119	Ankle spacing width (R)	Bone-densitometry_of_heel	gaussian	0.2891	0.0144	1.3068	1.5088	1.031	0.0088	0.0609	0.0173	NA	NA	NA	NA	NA
INI4120	Heel broadband ultrasound attenuation (R)	Bone-densitometry_of_heel	gaussian	0.2353	0.0231	1.2168	1.4307	1.0404	0.0091	0.0938	0.0212	NA	NA	NA	NA	NA
INI4122	Speed of sound through heel (R)	Bone-densitometry_of_heel	gaussian	0.2692	0.0251	1.2365	1.475	1.0429	0.0088	0.0903	0.0186	NA	NA	NA	NA	NA
INI4123	Heel quantitative ultrasound index (QUI), direct entry (R)	Bone-densitometry_of_heel	gaussian	0.2676	0.0255	1.2332	1.4789	1.0436	0.0091	0.091	0.019	NA	NA	NA	NA	NA
INI4124	Heel bone mineral density (BMD) (R)	Bone-densitometry_of_heel	gaussian	0.2689	0.0257	1.2332	1.4806	1.0436	0.0091	0.0906	0.0188	NA	NA	NA	NA	NA
INI4125	Heel bone mineral density (BMD) T-score, automated (R)	Bone-densitometry_of_heel	gaussian	0.2676	0.0255	1.2332	1.4789	1.0436	0.0091	0.091	0.019	NA	NA	NA	NA	NA
INI78	Heel bone mineral density (BMD) T-score, automated	Bone-densitometry_of_heel	gaussian	0.2625	0.0225	1.3203	1.7131	1.0735	0.0092	0.1031	0.0129	NA	NA	NA	NA	NA
INI1050	Time spend outdoors in summer	Lifestyle_and_environment	gaussian	0.0783	0.0037	1.2498	1.324	1.0296	0.0073	0.0914	0.0225	NA	NA	NA	NA	NA
INI1060	Outdoor time, winter	Lifestyle_and_environment	gaussian	0.0514	0.0031	1.1587	1.19	1.0184	0.007	0.0968	0.0368	NA	NA	NA	NA	NA
INI1160	Sleep duration	Lifestyle_and_environment	gaussian	0.064	0.0036	1.2234	1.2965	1.0219	0.008	0.0738	0.0268	NA	NA	NA	NA	NA
INI1289	Cooked vegetable intake	Lifestyle_and_environment	gaussian	0.0405	0.0026	1.1619	1.1879	1.0158	0.0071	0.0842	0.0376	NA	NA	NA	NA	NA
INI1309	Fresh fruit intake	Lifestyle_and_environment	gaussian	0.0625	0.0034	1.207	1.2685	1.0203	0.0077	0.0756	0.0287	NA	NA	NA	NA	NA
INI1319	Dried fruit intake	Lifestyle_and_environment	gaussian	0.0543	0.0032	1.1843	1.2398	1.0247	0.0078	0.1029	0.0325	NA	NA	NA	NA	NA
INI1438	Bread intake	Lifestyle_and_environment	gaussian	0.0419	0.003	1.1683	1.2122	1.0264	0.0077	0.1242	0.0362	NA	NA	NA	NA	NA
INI1458	Cereal intake	Lifestyle_and_environment	gaussian	0.0559	0.003	1.1683	1.2153	1.0056	0.0067	0.0258	0.0313	NA	NA	NA	NA	NA
INI1488	Tea intake	Lifestyle_and_environment	gaussian	0.0504	0.004	1.1908	1.2411	1.0425	0.0073	0.1762	0.0301	NA	NA	NA	NA	NA
INI1498	Coffee intake	Lifestyle_and_environment	gaussian	0.0526	0.0053	1.1555	1.2256	1.0086	0.007	0.0379	0.0309	NA	NA	NA	NA	NA
INI1528	Water intake	Lifestyle_and_environment	gaussian	0.0659	0.0036	1.2103	1.2691	1.0139	0.0076	0.0518	0.0282	NA	NA	NA	NA	NA
INI1548	Variation in diet	Lifestyle_and_environment	gaussian	0.0412	0.0028	1.1396	1.1611	0.9986	0.0075	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI1588	Ave. weekly beer plus cider intake	Lifestyle_and_environment	gaussian	0.0586	0.0042	1.207	1.2456	1.0689	0.0078	0.2806	0.0317	NA	NA	NA	NA	NA
INI1737	Childhood sunburn	Lifestyle_and_environment	gaussian	0.1192	0.0257	1.2136	1.4596	1.0406	0.0112	0.0884	0.0243	NA	NA	NA	NA	NA
INI2139	Age first had sexual intercourse	Lifestyle_and_environment	gaussian	0.1351	0.0049	1.4034	1.5454	1.0633	0.0077	0.1161	0.0141	NA	NA	NA	NA	NA
INI2237	Freq. of playing computer games	Lifestyle_and_environment	gaussian	0.0696	0.0035	1.2299	1.2989	1.013	0.0074	0.0436	0.0248	NA	NA	NA	NA	NA
INI2887	# of cigarettes previously smoked daily	Lifestyle_and_environment	gaussian	0.1197	0.0171	1.0895	1.1143	1.0006	0.0072	0.0054	0.0632	NA	NA	NA	NA	NA
INI2897	Age stopped smoking	Lifestyle_and_environment	gaussian	0.043	0.0072	1.0405	1.0454	0.9967	0.0061	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI3456	# of cigarettes currently smoked daily (current cigarette smokers)	Lifestyle_and_environment	gaussian	0.1102	0.0352	1.0225	1.0293	0.9991	0.0064	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI874	Duration of walks	Lifestyle_and_environment	gaussian	0.0379	0.0028	1.1333	1.1486	1.0157	0.0065	0.1056	0.044	NA	NA	NA	NA	NA
INI924	Usual walking pace	Lifestyle_and_environment	gaussian	0.0695	0.0034	1.2564	1.3233	1.0378	0.0078	0.1169	0.024	NA	NA	NA	NA	NA
INI971	Freq. of walking for pleasure in last 4 weeks	Lifestyle_and_environment	gaussian	0.0293	0.0027	1.0864	1.0929	1.0043	0.0065	0.0463	0.0702	NA	NA	NA	NA	NA
QT_FC10001478	Salt added to food	Lifestyle_and_environment	gaussian	0.0659	0.0037	1.2365	1.3116	1.0387	0.0079	0.1242	0.0253	NA	NA	NA	NA	NA
QT_FC10003466	Time from waking to first cigarette	Lifestyle_and_environment	gaussian	0.0734	0.0269	1.0285	1.0308	1.0099	0.0065	0.3212	0.2114	NA	NA	NA	NA	NA
QT_FC10003476	Difficulty not smoking for 1 day	Lifestyle_and_environment	gaussian	0.0088	0.0273	1.0165	1.019	1.0164	0.0063	0.8607	0.3308	NA	NA	NA	NA	NA
QT_FC1001170	Getting up in morning	Lifestyle_and_environment	gaussian	0.0696	0.0034	1.2299	1.3017	1.0139	0.0078	0.0459	0.0259	NA	NA	NA	NA	NA
QT_FC1001180	Morning/evening person (chronotype)	Lifestyle_and_environment	gaussian	0.101	0.0046	1.2831	1.3889	1.0244	0.0081	0.0628	0.0209	NA	NA	NA	NA	NA
QT_FC1001190	Nap during day	Lifestyle_and_environment	gaussian	0.0738	0.0036	1.2464	1.3613	1.0209	0.0083	0.0579	0.0231	NA	NA	NA	NA	NA
QT_FC1001220	Daytime dozing / sleeping (narcolepsy)	Lifestyle_and_environment	gaussian	0.0483	0.0027	1.1555	1.194	0.9969	0.0062	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
QT_FC1001329	Oily fish intake	Lifestyle_and_environment	gaussian	0.0549	0.0032	1.1973	1.2986	1.0183	0.0079	0.0614	0.0266	NA	NA	NA	NA	NA
QT_FC1001349	Processed meat intake	Lifestyle_and_environment	gaussian	0.0374	0.0028	1.1523	1.178	1.022	0.0069	0.1237	0.0389	NA	NA	NA	NA	NA
QT_FC1001359	Poultry intake	Lifestyle_and_environment	gaussian	0.0263	0.0022	1.1113	1.126	1.0142	0.0064	0.1126	0.0512	NA	NA	NA	NA	NA
QT_FC1001369	Beef intake	Lifestyle_and_environment	gaussian	0.0317	0.0028	1.1715	1.2017	1.0687	0.0075	0.3405	0.0372	NA	NA	NA	NA	NA
QT_FC1001408	Cheese intake	Lifestyle_and_environment	gaussian	0.0618	0.0035	1.2564	1.3152	1.0586	0.0084	0.186	0.0266	NA	NA	NA	NA	NA
QT_FC1001558	Alcohol intake frequency.	Lifestyle_and_environment	gaussian	0.0752	0.0042	1.2564	1.3379	1.0331	0.0083	0.098	0.0245	NA	NA	NA	NA	NA
INI4194	Pulse rate	Arterial_stiffness	gaussian	0.1192	0.0098	1.1523	1.2265	1.0316	0.0074	0.1395	0.0327	NA	NA	NA	NA	NA
INI4198	Position of the pulse wave peak	Arterial_stiffness	gaussian	0.0661	0.0057	1.1082	1.1275	1.0135	0.007	0.106	0.0553	NA	NA	NA	NA	NA
INI4199	Position of pulse wave notch	Arterial_stiffness	gaussian	0.0684	0.0072	1.1019	1.1346	1.0161	0.0065	0.1193	0.0485	NA	NA	NA	NA	NA
INI102	Pulse rate (AR)	Blood_pressure	gaussian	0.1399	0.0082	1.3409	1.5848	1.0501	0.0098	0.0856	0.0168	NA	NA	NA	NA	NA
INI4079	Diastolic BP (AR)	Blood_pressure	gaussian	0.1262	0.0054	1.3685	1.6091	1.0559	0.0093	0.0918	0.0153	NA	NA	NA	NA	NA
INI4080	Systolic BP (AR)	Blood_pressure	gaussian	0.1289	0.0057	1.3754	1.584	1.0689	0.0101	0.1179	0.0174	NA	NA	NA	NA	NA
INI95	Pulse rate (during blood-pressure measurement)	Blood_pressure	gaussian	0.1383	0.0187	1.0496	1.0575	1.001	0.0057	0.0177	0.0996	NA	NA	NA	NA	NA
INI20016	Fluid intelligence score	Cognitive_function	gaussian	0.208	0.0097	1.3169	1.4345	1.0551	0.0086	0.1267	0.0198	NA	NA	NA	NA	NA
INI100010	Portion size	Diet_by_24-hour_recall	gaussian	0.0507	0.0049	1.0802	1.0916	1	0.0068	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25056	Mean FA in middle cerebellar peduncle on FA skeleton	Diffusion_brain_MRI	gaussian	0.2761	0.026	1.0772	1.101	0.9997	0.0063	<0	usually_indicates_GC_correction	NA	NA	NA	NA	NA
INI25058	Mean FA in genu of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.291	0.0325	1.0864	1.1333	1.0117	0.0061	0.0876	0.0461	NA	NA	NA	NA	NA
INI25059	Mean FA in body of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.3204	0.0321	1.0957	1.1299	1.0064	0.0066	0.0495	0.0507	NA	NA	NA	NA	NA
INI25060	Mean FA in splenium of corpus callosum on FA skeleton	Diffusion_brain_MRI	gaussian	0.247	0.0322	1.0741	1.1192	1.0138	0.0069	0.1161	0.0576	NA	NA	NA	NA	NA
INI25061	Mean FA in fornix on FA skeleton	Diffusion_brain_MRI	gaussian	0.2096	0.0269	1.0588	1.0755	1.0058	0.0061	0.0769	0.0802	NA	NA	NA	NA	NA
INI25062	Mean FA in corticospinal tract on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.1699	0.0241	1.0649	1.0681	1.0084	0.007	0.1234	0.1029	NA	NA	NA	NA	NA
INI25066	Mean FA in inferior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2631	0.0266	1.0802	1.0974	1.0005	0.0063	0.0048	0.0652	NA	NA	NA	NA	NA
INI25068	Mean FA in superior cerebellar peduncle on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2969	0.0298	1.0864	1.1141	1.0104	0.0067	0.0909	0.0587	NA	NA	NA	NA	NA
INI25069	Mean FA in superior cerebellar peduncle on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2845	0.0303	1.0802	1.1121	1.0106	0.0066	0.0944	0.0588	NA	NA	NA	NA	NA
INI25071	Mean FA in cerebral peduncle on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2527	0.031	1.0833	1.1028	1.0076	0.0069	0.0736	0.0671	NA	NA	NA	NA	NA
INI25072	Mean FA in anterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2916	0.0285	1.0895	1.1159	1.0072	0.0064	0.0621	0.0553	NA	NA	NA	NA	NA
INI25073	Mean FA in anterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2593	0.0296	1.0833	1.1129	1.0149	0.0065	0.1315	0.0579	NA	NA	NA	NA	NA
INI25074	Mean FA in posterior limb of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2618	0.0269	1.0802	1.1003	1.0136	0.006	0.1357	0.0596	NA	NA	NA	NA	NA
INI25075	Mean FA in posterior limb of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2391	0.026	1.0802	1.0981	1.0189	0.0056	0.1927	0.0568	NA	NA	NA	NA	NA
INI25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)	Diffusion_brain_MRI	gaussian	0.2585	0.026	1.071	1.0939	1.0027	0.0055	0.0291	0.0586	NA	NA	NA	NA	NA
INI25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)	Diffusion_brain_MRI	gaussian	0.2251	0.0256	1.0679	1.0814	1.0068	0.006	0.0834	0.0731	NA	NA	NA	NA	NA
