trait_category	trait	trait_name	PGScatalog_ID	EFO_ID	EFO_label
Biomarkers	INI30630	Apolipoprotein A	PGS000671	EFO_0004614	apolipoprotein A 1 measurement
Biomarkers	INI30640	Apolipoprotein B	PGS000672	EFO_0004615	apolipoprotein B measurement
Biomarkers	INI30650	Aspartate aminotransferase	PGS000673	EFO_0004736	aspartate aminotransferase measurement
Biomarkers	INI30660	Direct bilirubin	PGS000681	EFO_0004570	bilirubin measurement
Biomarkers	INI30670	Urea	PGS000701	EFO_0009795	serum urea measurement
Biomarkers	INI30680	Calcium	PGS000676	EFO_0004838	calcium measurement
Biomarkers	INI30690	Cholesterol	PGS000677	EFO_0004574	total cholesterol measurement
Biomarkers	INI30700	Creatinine	PGS000678	EFO_0004518	creatinine measurement
Biomarkers	INI30710	C-reactive protein	PGS000675	EFO_0004458	C-reactive protein measurement
Biomarkers	INI30720	Cystatin C	PGS000680	EFO_0004617	cystatin C measurement
Biomarkers	INI30730	Gamma glutamyltransferase	PGS000683	EFO_0004532	serum gamma-glutamyl transferase measurement
Biomarkers	INI30740	Glucose	PGS000684	EFO_0004468	glucose measurement
Biomarkers	INI30750	Glycated haemoglobin (HbA1c)	PGS000685	EFO_0004541	HbA1c measurement
Biomarkers	INI30760	HDL cholesterol	PGS000686	EFO_0004612	high density lipoprotein cholesterol measurement
Biomarkers	INI30770	IGF-1	PGS000687	EFO_0004627	IGF-1 measurement
Biomarkers	INI30780	LDL cholesterol	PGS000688	EFO_0004611	low density lipoprotein cholesterol measurement
Biomarkers	INI30790	Lipoprotein A	PGS000689	EFO_0006925	lipoprotein A measurement
Biomarkers	INI30810	Phosphate	PGS000692	EFO_0010968	phosphate measurement
Biomarkers	INI30830	SHBG	PGS000694	EFO_0004696	sex hormone-binding globulin measurement
Biomarkers	INI30840	Total bilirubin	PGS000697	EFO_0004570	bilirubin measurement
Biomarkers	INI30850	Testosterone	PGS000696	EFO_0004908	testosterone measurement
Biomarkers	INI30860	Total protein	PGS000698	EFO_0004536	total blood protein measurement
Biomarkers	INI30870	Triglycerides	PGS000699	EFO_0004530	triglyceride measurement
Biomarkers	INI30880	Urate	PGS000700	EFO_0004531	urate measurement
Biomarkers	INI30890	Vitamin D	PGS000702	EFO_0004631	vitamin D measurement
Blood_assays	INI23002	GE / gI antigen for Varicella Zoster Virus	PGS001399	EFO_0009340	Varicella zoster virus seropositivity
Blood_assays	INI23003	VCA p18 antigen for Epstein-Barr Virus			
Blood_assays	INI23004	EBNA-1 antigen for Epstein-Barr Virus	PGS001036	EFO_0009271	Epstein Barr virus nuclear antigen-1 seropositivity
Blood_assays	INI23005	ZEBRA antigen for Epstein-Barr Virus	PGS001772	EFO_0009273	anti-Epstein Barr virus antibody measurement
Blood_assays	INI23006	EA-D antigen for Epstein-Barr Virus			
Blood_assays	INI23008	Pp 52 antigen for Human Cytomegalovirus			
Blood_assays	INI23009	Pp 28 antigen for Human Cytomegalovirus			
Blood_assays	INI23010	IE1A antigen for Human Herpesvirus-6			
Blood_assays	INI23011	IE1B antigen for Human Herpesvirus-6			
Blood_assays	INI23013	U14 antigen for Human Herpesvirus-7			
Blood_assays	INI23019	NS3 antigen for Hepatitis C Virus			
Blood_assays	INI23020	P22 antigen for Toxoplasma gondii			
Blood_assays	INI23022	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	PGS001407	EFO_0007937	blood protein measurement
Blood_assays	INI23023	HTLV-1 env antigen for Human T-Lymphotropic Virus 1			
Blood_assays	INI23025	HIV-1 env antigen for Human Immunodeficiency Virus			
Blood_assays	INI23026	BK VP1 antigen for Human Polyomavirus BKV			
Blood_assays	INI23027	JC VP1 antigen for Human Polyomavirus JCV	PGS001081	EFO_0007937	blood protein measurement
Blood_assays	INI23028	MC VP1 antigen for Merkel Cell Polyomavirus	PGS001082	EFO_0007937	blood protein measurement
Blood_assays	INI23030	E6 antigen for Human Papillomavirus type-16			
Blood_assays	INI23032	L1 antigen for Human Papillomavirus type-18			
Blood_assays	INI23034	Momp A antigen for Chlamydia trachomatis			
Blood_assays	INI23035	Tarp-D F1 antigen for Chlamydia trachomatis			
Blood_assays	INI23036	Tarp-D F2 antigen for Chlamydia trachomatis			
Blood_assays	INI23037	PorB antigen for Chlamydia trachomatis			
Blood_assays	INI23040	VacA antigen for Helicobacter pylori			
Blood_assays	INI23041	OMP antigen for Helicobacter pylori			
Blood_assays	INI30000	White blood cell count	PGS001239	EFO_0004308	leukocyte count
Blood_assays	INI30010	Red blood cell count	PGS001240	EFO_0004305	erythrocyte count
Blood_assays	INI30020	Haemoglobin concentration	PGS001400	EFO_0004509	hemoglobin measurement
Blood_assays	INI30030	Haematocrit %	PGS001225	EFO_0004348	hematocrit
Blood_assays	INI30040	Mean corpuscular volume	PGS001220	EFO_0004526	mean corpuscular volume
Blood_assays	INI30050	Mean corpuscular haemoglobin	PGS001219	EFO_0004527	mean corpuscular hemoglobin
Blood_assays	INI30060	Mean corpuscular haemoglobin concentration	PGS001218	EFO_0004528	mean corpuscular hemoglobin concentration
Blood_assays	INI30070	Red blood cell distribution width	PGS001152	EFO_0005192	red blood cell distribution width
Blood_assays	INI30080	Platelet count	PGS001238	EFO_0004309	platelet count
Blood_assays	INI30090	Platelet crit	PGS001517	EFO_0007985	platelet crit
Blood_assays	INI30100	Mean platelet volume	PGS001200	EFO_0004584	mean platelet volume
Blood_assays	INI30110	Platelet distribution width	PGS001079	EFO_0007984	platelet component distribution width
Blood_assays	INI30120	Lymphocyte count	PGS001199	EFO_0004587	lymphocyte count
Blood_assays	INI30130	Monocyte count	PGS001163	EFO_0005091	monocyte count
Blood_assays	INI30140	Neutrophill count	PGS001173	EFO_0004833	neutrophil count
Blood_assays	INI30150	Eosinophill count	PGS001172	EFO_0004842	eosinophil count
Blood_assays	INI30160	Basophill count	PGS001378	EFO_0005090	basophil count
Blood_assays	INI30180	Lymphocyte %	PGS001414	EFO_0007993	lymphocyte percentage of leukocytes
Blood_assays	INI30190	Monocyte %	PGS001078	EFO_0007989	monocyte percentage of leukocytes
Blood_assays	INI30200	Neutrophill %	PGS001077	EFO_0007990	neutrophil percentage of leukocytes
Blood_assays	INI30210	Eosinophill %	PGS001076	EFO_0007991	eosinophil percentage of leukocytes
Blood_assays	INI30220	Basophill %	PGS001377	EFO_0007992	basophil percentage of leukocytes
Blood_assays	INI30240	Reticulocyte %	PGS000989	EFO_0010700	reticulocyte measurement
Blood_assays	INI30250	Reticulocyte count	PGS001528	EFO_0007986	reticulocyte count
Blood_assays	INI30260	Mean reticulocyte volume	PGS000987	EFO_0010701	mean reticulocyte volume
Blood_assays	INI30280	Immature reticulocyte fraction	PGS001408	EFO_0009253	Immature Reticulocyte Fraction Measurement
Blood_assays	INI30290	High light scatter reticulocyte %	PGS000988	EFO_0010700	reticulocyte measurement
Blood_assays	INI30300	High light scatter reticulocyte count	PGS001406	EFO_0010700	reticulocyte measurement
Blood_assays	INI30820	Rheumatoid factor			
Bone-densitometry_of_heel	INI3143	Ankle spacing width	PGS001241	EFO_0004302	anthropometric measurement
Bone-densitometry_of_heel	INI3144	Heel Broadband ultrasound attenuation, direct entry	PGS000951	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI3146	Speed of sound through heel	PGS001529	EFO_0007772	calcaneal bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI3147	Heel quantitative ultrasound index (QUI), direct entry	PGS000952	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI3148	Heel bone mineral density (BMD)	PGS001402	EFO_0009270	heel bone mineral density
Bone-densitometry_of_heel	INI4100	Ankle spacing width (L)	PGS001242	EFO_0004302	anthropometric measurement
Bone-densitometry_of_heel	INI4101	Heel broadband ultrasound attenuation (L)	PGS000953	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4103	Speed of sound through heel (L)	PGS001530	EFO_0007772	calcaneal bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4104	Heel quantitative ultrasound index (QUI), direct entry (L)	PGS000954	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4105	Heel bone mineral density (BMD) (L)	PGS001403	EFO_0009270	heel bone mineral density
Bone-densitometry_of_heel	INI4106	Heel bone mineral density (BMD) T-score, automated (L)	PGS001038	EFO_0009270	heel bone mineral density
Bone-densitometry_of_heel	INI4119	Ankle spacing width (R)	PGS001243	EFO_0004302	anthropometric measurement
Bone-densitometry_of_heel	INI4120	Heel broadband ultrasound attenuation (R)	PGS000955	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4122	Speed of sound through heel (R)	PGS001531	EFO_0007772	calcaneal bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4123	Heel quantitative ultrasound index (QUI), direct entry (R)	PGS000956	EFO_0004514	bone quantitative ultrasound measurement
Bone-densitometry_of_heel	INI4124	Heel bone mineral density (BMD) (R)	PGS001404	EFO_0009270	heel bone mineral density
Bone-densitometry_of_heel	INI4125	Heel bone mineral density (BMD) T-score, automated (R)	PGS001039	EFO_0009270	heel bone mineral density
Bone-densitometry_of_heel	INI78	Heel bone mineral density (BMD) T-score, automated	PGS001037	EFO_0009270	heel bone mineral density
Lifestyle_and_environment	INI1050	Time spend outdoors in summer	PGS001052	EFO_0008360	environmental exposure measurement
Lifestyle_and_environment	INI1060	Outdoor time, winter	PGS001053	EFO_0008360	environmental exposure measurement
Lifestyle_and_environment	INI1160	Sleep duration	PGS001150	EFO_0005271	sleep duration
Lifestyle_and_environment	INI1289	Cooked vegetable intake	PGS001061	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1299	Salad / raw vegetable intake			
Lifestyle_and_environment	INI1309	Fresh fruit intake	PGS001062	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1319	Dried fruit intake	PGS001389	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1438	Bread intake	PGS000978	EFO_0010811	carbohydrate intake measurement
Lifestyle_and_environment	INI1458	Cereal intake	PGS001057	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1488	Tea intake	PGS000994	EFO_0010091	tea consumption measurement
Lifestyle_and_environment	INI1498	Coffee intake	PGS001126	EFO_0006781	coffee consumption measurement
Lifestyle_and_environment	INI1528	Water intake	PGS001069	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1548	Variation in diet	PGS001068	EFO_0008111	diet measurement
Lifestyle_and_environment	INI1578	Ave. weekly champagne plus white wine intake			
Lifestyle_and_environment	INI1588	Ave. weekly beer plus cider intake	PGS001088	EFO_0007878	alcohol consumption measurement
Lifestyle_and_environment	INI1598	Ave. weekly spirits intake			
Lifestyle_and_environment	INI1608	Ave. weekly fortified wine intake			
Lifestyle_and_environment	INI1737	Childhood sunburn	PGS001257	EFO_0003958	sunburn
Lifestyle_and_environment	INI2139	Age first had sexual intercourse	PGS001007	EFO_0009749	age at first sexual intercourse measurement
Lifestyle_and_environment	INI2149	Lifetime # of sexual partners			
Lifestyle_and_environment	INI2237	Freq. of playing computer games	PGS000984	EFO_0010724	lifestyle measurement
Lifestyle_and_environment	INI2624	Freq. of heavy DIY in last 4 weeks			
Lifestyle_and_environment	INI2867	Age started smoking in former smokers			
Lifestyle_and_environment	INI2887	# of cigarettes previously smoked daily	PGS001130	EFO_0006525	cigarettes per day measurement
Lifestyle_and_environment	INI2897	Age stopped smoking	PGS001374	EFO_0004319	smoking cessation
Lifestyle_and_environment	INI2926	# of unsuccessful stop-smoking attempts			
Lifestyle_and_environment	INI3436	Age started smoking in current smokers			
Lifestyle_and_environment	INI3456	# of cigarettes currently smoked daily (current cigarette smokers)	PGS001515	EFO_0006525	cigarettes per day measurement
Lifestyle_and_environment	INI3637	Freq. of other exercises in last 4 weeks			
Lifestyle_and_environment	INI3680	Age when last ate meat			
Lifestyle_and_environment	INI4440	Ave. monthly spirits intake			
Lifestyle_and_environment	INI4451	Ave. monthly fortified wine intake			
Lifestyle_and_environment	INI874	Duration of walks	PGS001073	EFO_0008002	physical activity measurement
Lifestyle_and_environment	INI924	Usual walking pace	PGS001075	EFO_0008002	physical activity measurement
Lifestyle_and_environment	INI971	Freq. of walking for pleasure in last 4 weeks	PGS001397	EFO_0008002	physical activity measurement
Lifestyle_and_environment	INI981	Duration walking for pleasure			
Lifestyle_and_environment	INI991	Freq. of strenuous sports in last 4 weeks			
Lifestyle_and_environment	QT_FC10001478	Salt added to food	PGS001034	EFO_0008111	diet measurement
Lifestyle_and_environment	QT_FC10003466	Time from waking to first cigarette	PGS001532	EFO_0005671	smoking behaviour measurement
Lifestyle_and_environment	QT_FC10003476	Difficulty not smoking for 1 day	PGS001388	EFO_0005671	smoking behaviour measurement
Lifestyle_and_environment	QT_FC10003506	Smoking compared to 10 years previous			
Lifestyle_and_environment	QT_FC1001170	Getting up in morning	PGS001001	EFO_0009817	ease of getting up in the morning, self-reported
Lifestyle_and_environment	QT_FC1001180	Morning/evening person (chronotype)	PGS001055	EFO_0008328	chronotype measurement
Lifestyle_and_environment	QT_FC1001190	Nap during day	PGS001000	EFO_0009818	nap during day, self-reported
Lifestyle_and_environment	QT_FC1001220	Daytime dozing / sleeping (narcolepsy)	PGS000926	MONDO_0021107	narcolepsy
Lifestyle_and_environment	QT_FC1001329	Oily fish intake	PGS000993	EFO_0010139	fish consumption measurement
Lifestyle_and_environment	QT_FC1001349	Processed meat intake	PGS001067	EFO_0008111	diet measurement
Lifestyle_and_environment	QT_FC1001359	Poultry intake	PGS001066	EFO_0008111	diet measurement
Lifestyle_and_environment	QT_FC1001369	Beef intake	PGS001056	EFO_0008111	diet measurement
Lifestyle_and_environment	QT_FC1001408	Cheese intake	PGS001060	EFO_0008111	diet measurement
Lifestyle_and_environment	QT_FC1001558	Alcohol intake frequency.	PGS001087	EFO_0007878	alcohol consumption measurement
Abdominal_MRI	INI22405	Anterior thigh lean muscle volume (L)			
Abdominal_MRI	INI22407	Visceral adipose tissue volume (VAT)			
Arterial_stiffness	INI4194	Pulse rate	PGS001523	EFO_0004326	heart rate
Arterial_stiffness	INI4198	Position of the pulse wave peak	PGS001520	EFO_0004517	arterial stiffness measurement
Arterial_stiffness	INI4199	Position of pulse wave notch	PGS001519	EFO_0004517	arterial stiffness measurement
Blood_pressure	INI102	Pulse rate (AR)	PGS001233	EFO_0004326	heart rate
Blood_pressure	INI4079	Diastolic BP (AR)	PGS001133	EFO_0006336	diastolic blood pressure
Blood_pressure	INI4080	Systolic BP (AR)	PGS001134	EFO_0006335	systolic blood pressure
Blood_pressure	INI95	Pulse rate (during blood-pressure measurement)	PGS001524	EFO_0004326	heart rate
Cancer_register	INI40008	Age at cancer diagnosis			
Carotid_ultrasound	INI22670	Minimum carotid IMT (intima-medial thickness) at 120 degrees			
Carotid_ultrasound	INI22671	Mean carotid IMT (intima-medial thickness) at 120 degrees			
Carotid_ultrasound	INI22672	Maximum carotid IMT (intima-medial thickness) at 120 degrees			
Carotid_ultrasound	INI22673	Minimum carotid IMT (intima-medial thickness) at 150 degrees			
Carotid_ultrasound	INI22674	Mean carotid IMT (intima-medial thickness) at 150 degrees			
Cognitive_function	INI20016	Fluid intelligence score	PGS001232	EFO_0004337	intelligence
Death_register	INI40007	Age at death			
Diet_by_24-hour_recall	INI100010	Portion size	PGS001518	EFO_0008111	diet measurement
Diet_by_24-hour_recall	INI104900	Time spent doing vigorous physical activity			
Diet_by_24-hour_recall	INI104920	Time spent doing light physical activity			
Diffusion_brain_MRI	INI25056	Mean FA in middle cerebellar peduncle on FA skeleton	PGS001429	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25057	Mean FA in pontine crossing tract on FA skeleton			
Diffusion_brain_MRI	INI25058	Mean FA in genu of corpus callosum on FA skeleton	PGS001427	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25059	Mean FA in body of corpus callosum on FA skeleton	PGS001417	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25060	Mean FA in splenium of corpus callosum on FA skeleton	PGS001438	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25061	Mean FA in fornix on FA skeleton	PGS001426	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25062	Mean FA in corticospinal tract on FA skeleton (R)	PGS001423	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25063	Mean FA in corticospinal tract on FA skeleton (L)			
Diffusion_brain_MRI	INI25064	Mean FA in medial lemniscus on FA skeleton (R)			
Diffusion_brain_MRI	INI25066	Mean FA in inferior cerebellar peduncle on FA skeleton (R)	PGS001428	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25067	Mean FA in inferior cerebellar peduncle on FA skeleton (L)			
Diffusion_brain_MRI	INI25068	Mean FA in superior cerebellar peduncle on FA skeleton (R)	PGS001440	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25069	Mean FA in superior cerebellar peduncle on FA skeleton (L)	PGS001439	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25071	Mean FA in cerebral peduncle on FA skeleton (L)	PGS001418	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25072	Mean FA in anterior limb of internal capsule on FA skeleton (R)	PGS001416	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25073	Mean FA in anterior limb of internal capsule on FA skeleton (L)	PGS001415	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25074	Mean FA in posterior limb of internal capsule on FA skeleton (R)	PGS001431	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25075	Mean FA in posterior limb of internal capsule on FA skeleton (L)	PGS001430	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25076	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)	PGS001435	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25077	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)	PGS001434	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25078	Mean FA in anterior corona radiata on FA skeleton (R)			
Diffusion_brain_MRI	INI25079	Mean FA in anterior corona radiata on FA skeleton (L)			
Diffusion_brain_MRI	INI25080	Mean FA in superior corona radiata on FA skeleton (R)	PGS001442	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25081	Mean FA in superior corona radiata on FA skeleton (L)	PGS001441	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25083	Mean FA in posterior corona radiata on FA skeleton (L)			
Diffusion_brain_MRI	INI25084	Mean FA in posterior thalamic radiation on FA skeleton (R)	PGS001433	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25085	Mean FA in posterior thalamic radiation on FA skeleton (L)	PGS001432	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25086	Mean FA in sagittal stratum on FA skeleton (R)	PGS001437	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25087	Mean FA in sagittal stratum on FA skeleton (L)	PGS001436	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25088	Mean FA in external capsule on FA skeleton (R)	PGS001424	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25089	Mean FA in external capsule on FA skeleton (L)			
Diffusion_brain_MRI	INI25090	Mean FA in cingulum cingulate gyrus on FA skeleton (R)	PGS001420	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25091	Mean FA in cingulum cingulate gyrus on FA skeleton (L)	PGS001419	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25092	Mean FA in cingulum hippocampus on FA skeleton (R)	PGS001422	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25093	Mean FA in cingulum hippocampus on FA skeleton (L)	PGS001421	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25094	Mean FA in fornix cres+stria terminalis on FA skeleton (R)	PGS001425	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25096	Mean FA in superior longitudinal fasciculus on FA skeleton (R)	PGS001446	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25097	Mean FA in superior longitudinal fasciculus on FA skeleton (L)	PGS001445	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25098	Mean FA in superior fronto-occipital fasciculus on FA skeleton (R)	PGS001444	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25099	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)	PGS001443	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25100	Mean FA in uncinate fasciculus on FA skeleton (R)	PGS001449	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25101	Mean FA in uncinate fasciculus on FA skeleton (L)			
Diffusion_brain_MRI	INI25102	Mean FA in tapetum on FA skeleton (R)	PGS001448	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25103	Mean FA in tapetum on FA skeleton (L)	PGS001447	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25344	Mean ICVF in middle cerebellar peduncle on FA skeleton	PGS001471	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25345	Mean ICVF in pontine crossing tract on FA skeleton			
Diffusion_brain_MRI	INI25346	Mean ICVF in genu of corpus callosum on FA skeleton	PGS001466	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25347	Mean ICVF in body of corpus callosum on FA skeleton	PGS001454	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25349	Mean ICVF in fornix on FA skeleton	PGS001465	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25350	Mean ICVF in corticospinal tract on FA skeleton (R)			
Diffusion_brain_MRI	INI25351	Mean ICVF in corticospinal tract on FA skeleton (L)			
Diffusion_brain_MRI	INI25352	Mean ICVF in medial lemniscus on FA skeleton (R)	PGS001470	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25353	Mean ICVF in medial lemniscus on FA skeleton (L)	PGS001469	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25354	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)	PGS001468	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25355	Mean ICVF in inferior cerebellar peduncle on FA skeleton (L)	PGS001467	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25356	Mean ICVF in superior cerebellar peduncle on FA skeleton (R)	PGS001483	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25357	Mean ICVF in superior cerebellar peduncle on FA skeleton (L)	PGS001482	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25358	Mean ICVF in cerebral peduncle on FA skeleton (R)	PGS001456	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25359	Mean ICVF in cerebral peduncle on FA skeleton (L)	PGS001455	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25360	Mean ICVF in anterior limb of internal capsule on FA skeleton (R)	PGS001453	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25361	Mean ICVF in anterior limb of internal capsule on FA skeleton (L)	PGS001452	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25362	Mean ICVF in posterior limb of internal capsule on FA skeleton (R)	PGS001475	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25363	Mean ICVF in posterior limb of internal capsule on FA skeleton (L)	PGS001474	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25364	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (R)	PGS001479	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25365	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (L)	PGS001478	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25366	Mean ICVF in anterior corona radiata on FA skeleton (R)	PGS001451	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25367	Mean ICVF in anterior corona radiata on FA skeleton (L)	PGS001450	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25368	Mean ICVF in superior corona radiata on FA skeleton (R)	PGS001485	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25369	Mean ICVF in superior corona radiata on FA skeleton (L)	PGS001484	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25370	Mean ICVF in posterior corona radiata on FA skeleton (R)	PGS001473	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25371	Mean ICVF in posterior corona radiata on FA skeleton (L)	PGS001472	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25372	Mean ICVF in posterior thalamic radiation on FA skeleton (R)	PGS001477	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25373	Mean ICVF in posterior thalamic radiation on FA skeleton (L)	PGS001476	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25374	Mean ICVF in sagittal stratum on FA skeleton (R)	PGS001481	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25375	Mean ICVF in sagittal stratum on FA skeleton (L)	PGS001480	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25376	Mean ICVF in external capsule on FA skeleton (R)	PGS001462	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25377	Mean ICVF in external capsule on FA skeleton (L)	PGS001461	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
Diffusion_brain_MRI	INI25378	Mean ICVF in cingulum cingulate gyrus on FA skeleton (R)	PGS001458	EFO_0006930|EFO_0004346	brain volume measurement|neuroimaging measurement
